payment_ref_number,object,object_ref_number,payment_for,payment_for_ref_number,payment_reason,payment_mode,amount,status,payment_datetime,case_ref_number,payment_source
PRN_AMIT_0001,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,CASA_DEBIT,3500,SUCCESS,2026-02-21T15:15:00,CR_003_AMIT,FIELD_APP
PRN_EERA_0008,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,ONLINE,7291,SUCCESS,2026-02-25T18:25:00,CR_006_MEERA,FIELD_APP
PRN_AMIT_0012,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,UPI,2000,SUCCESS,2026-03-04T10:46:00,CR_003_AMIT,CUSTOMER_PORTAL
PRN_JESH_0006,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,ONLINE,6708,SUCCESS,2026-03-09T08:46:00,CR_001_RAJESH,LINK
PRN_EERA_0009,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,CASA_DEBIT,2916,SUCCESS,2026-03-13T16:11:00,CR_006_MEERA,CUSTOMER_PORTAL
PRN_JESH_0013,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,NACH,4791,SUCCESS,2026-03-14T08:31:00,CR_001_RAJESH,CUSTOMER_PORTAL
PRN_KRAM_0005,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,UPI,3305,SUCCESS,2026-03-16T16:25:00,CR_005_VIKRAM,CUSTOMER_PORTAL
PRN_AMIT_0000,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,CASH,2500,SUCCESS,2026-03-18T09:09:00,CR_003_AMIT,CUSTOMER_PORTAL
PRN_JESH_0020,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,CASA_DEBIT,4791,SUCCESS,2026-03-20T13:38:00,CR_001_RAJESH,FIELD_APP
PRN_AMIT_0003,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,CASA_DEBIT,2000,SUCCESS,2026-03-20T22:15:00,CR_003_AMIT,CUSTOMER_PORTAL
PRN_OOJA_0003,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,NACH,10860,SUCCESS,2026-03-20T22:47:00,CR_010_POOJA,LINK
PRN_RIYA_0000,CUSTOMER,CT_PRIYA,CASE,CR_002_PRIYA,LOAN_PAYMENT,CASA_DEBIT,8611,SUCCESS,2026-03-21T11:55:00,CR_002_PRIYA,LINK
PRN_RIYA_0009,CUSTOMER,CT_PRIYA,CASE,CR_002_PRIYA,LOAN_PAYMENT,UPI,6027,FAILED,2026-03-24T21:58:00,CR_002_PRIYA,LINK
PRN_AMIT_0014,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,NACH,2500,SUCCESS,2026-03-30T08:50:00,CR_003_AMIT,LINK
PRN_RIYA_0004,CUSTOMER,CT_PRIYA,CASE,CR_002_PRIYA,LOAN_PAYMENT,UPI,3444,SUCCESS,2026-04-02T16:23:00,CR_002_PRIYA,LINK
PRN_AMIT_0006,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,CASH,2500,FAILED,2026-04-04T14:39:00,CR_003_AMIT,TELECALLING
PRN_AMIT_0002,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,CASA_DEBIT,5000,SUCCESS,2026-04-05T13:12:00,CR_003_AMIT,FIELD_APP
PRN_NJAY_0002,CUSTOMER,CT_ANJAY,CASE,CR_009_SANJAY,LOAN_PAYMENT,ONLINE,3402,FAILED,2026-04-08T10:36:00,CR_009_SANJAY,TELECALLING
PRN_AMIT_0009,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,CASH,5000,FAILED,2026-04-16T11:39:00,CR_003_AMIT,LINK
PRN_OOJA_0015,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,NACH,6388,SUCCESS,2026-04-16T12:18:00,CR_010_POOJA,FIELD_APP
PRN_AMIT_0005,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,CASA_DEBIT,2000,SUCCESS,2026-04-19T09:48:00,CR_003_AMIT,CUSTOMER_PORTAL
PRN_NJAY_0001,CUSTOMER,CT_ANJAY,CASE,CR_009_SANJAY,LOAN_PAYMENT,CASH,2430,SUCCESS,2026-04-23T22:51:00,CR_009_SANJAY,TELECALLING
